1, 0.005, 76.5316, 9, 25532, -755483, -29.9661, 0.0644747, 0.311985, 7185, 5581
2, 0.01, 76.6583, 9, 25532, -755414, -29.9658, 0.064862, 0.313932, 7435, 5331
3, 0.015, 76.7846, 9, 25532, -755327, -29.9653, 0.0653524, 0.316431, 7628, 5138
4, 0.02, 76.9105, 9, 25532, -755220, -29.9648, 0.0660215, 0.319464, 7714, 5052
5, 0.025, 77.036, 9, 25532, -755094, -29.9643, 0.0668236, 0.323026, 7791, 4975
6, 0.03, 77.161, 9, 25532, -754952, -29.9636, 0.0677168, 0.327076, 7891, 4875
7, 0.035, 77.2857, 9, 25532, -754791, -29.9629, 0.0687461, 0.33162, 7941, 4825
8, 0.04, 77.4099, 9, 25532, -754614, -29.9621, 0.0698791, 0.336651, 8018, 4748
9, 0.045, 77.5338, 9, 25532, -754419, -29.9613, 0.0711434, 0.342176, 8029, 4737
10, 0.05, 77.6573, 9, 25532, -754207, -29.9603, 0.0725096, 0.348167, 8099, 4667
11, 0.055, 77.7803, 9, 25532, -753976, -29.9593, 0.0740152, 0.354665, 8095, 4671
12, 0.06, 77.903, 9, 25532, -753730, -29.9582, 0.0756114, 0.361622, 8100, 4666
13, 0.065, 78.0253, 9, 25532, -753466, -29.957, 0.0773322, 0.369046, 8146, 4620
14, 0.07, 78.1472, 9, 25532, -753183, -29.9557, 0.0792043, 0.376984, 8162, 4604
15, 0.075, 78.2688, 9, 25532, -752884, -29.9544, 0.0811418, 0.385361, 8160, 4606
16, 0.08, 78.3899, 9, 25532, -752567, -29.9529, 0.0832139, 0.39422, 8197, 4569
17, 0.085, 78.5107, 9, 25532, -752232, -29.9513, 0.0854299, 0.403565, 8199, 4567
18, 0.09, 78.6311, 9, 25532, -751879, -29.9496, 0.0877571, 0.413377, 8203, 4563
19, 0.095, 78.7512, 9, 25532, -751508, -29.9478, 0.0901887, 0.42365, 8262, 4504
20, 0.1, 78.8708, 9, 25532, -751121, -29.9459, 0.0927344, 0.43437, 8293, 4473
21, 0.105, 78.9902, 9, 25532, -750715, -29.9439, 0.0954224, 0.445571, 8259, 4507
22, 0.11, 79.1091, 9, 25532, -750291, -29.9418, 0.0982504, 0.45725, 8296, 4470
23, 0.115, 79.2277, 9, 25532, -749848, -29.9395, 0.101179, 0.469383, 8337, 4429
24, 0.12, 79.346, 9, 25532, -749387, -29.9371, 0.104213, 0.481967, 8318, 4448
25, 0.125, 79.4639, 9, 25532, -748908, -29.9346, 0.107424, 0.49502, 8280, 4486
26, 0.13, 79.5814, 9, 25532, -748410, -29.9318, 0.110712, 0.508523, 8368, 4398
27, 0.135, 79.6986, 9, 25532, -747894, -29.929, 0.114146, 0.522463, 8368, 4398
28, 0.14, 79.8155, 9, 25532, -747358, -29.926, 0.117717, 0.536873, 8361, 4405
29, 0.145, 79.932, 9, 25532, -746804, -29.9228, 0.121391, 0.551719, 8379, 4387
30, 0.15, 80.0482, 9, 25532, -746231, -29.9195, 0.125178, 0.567002, 8406, 4360
31, 0.155, 80.164, 9, 25532, -745638, -29.9159, 0.129153, 0.582735, 8407, 4359
32, 0.16, 80.2796, 9, 25532, -745028, -29.9122, 0.133186, 0.598862, 8401, 4365
33, 0.165, 80.3947, 9, 25532, -744394, -29.9082, 0.137402, 0.615483, 8398, 4368
34, 0.17, 80.5096, 9, 25532, -743744, -29.904, 0.141682, 0.632463, 8398, 4368
35, 0.175, 80.6241, 9, 25532, -743073, -29.8996, 0.146113, 0.649884, 8395, 4371
36, 0.18, 80.7383, 9, 25532, -742381, -29.8949, 0.150706, 0.667705, 8403, 4363
37, 0.185, 80.8522, 9, 25528, -741855, -29.8943, 0.15294, 0.680926, 8396, 4368
38, 0.19, 80.9657, 10, 25520, -741041, -29.8902, 0.156725, 0.69583, 8365, 4395
39, 0.195, 81.079, 10, 25518, -740584, -29.8889, 0.159182, 0.707638, 8389, 4370
40, 0.2, 81.1919, 10, 25518, -739991, -29.8848, 0.163074, 0.722947, 8448, 4311
41, 0.205, 81.3045, 10, 25514, -739592, -29.8863, 0.164168, 0.734469, 8397, 4360
42, 0.21, 81.4168, 10, 25514, -739025, -29.8826, 0.167746, 0.749361, 8380, 4377
43, 0.215, 81.5288, 10, 25512, -738529, -29.8818, 0.170277, 0.763241, 8406, 4350
44, 0.22, 81.6405, 10, 25512, -737899, -29.8777, 0.174341, 0.77981, 8468, 4288
45, 0.225, 81.7519, 10, 25512, -737222, -29.8731, 0.178724, 0.797336, 8413, 4343
46, 0.23, 81.8629, 10, 25512, -736511, -29.868, 0.183283, 0.815533, 8429, 4327
47, 0.235, 81.9737, 10, 25508, -736016, -29.868, 0.185104, 0.828532, 8415, 4339
48, 0.24, 82.0842, 10, 25508, -735340, -29.8632, 0.189331, 0.846077, 8422, 4332
49, 0.245, 82.1944, 10, 25504, -734735, -29.8626, 0.191672, 0.862336, 8437, 4315
50, 0.25, 82.3043, 10, 25502, -734280, -29.8622, 0.193566, 0.875601, 8436, 4315
51, 0.255, 82.4138, 10, 25498, -734061, -29.8636, 0.193555, 0.881066, 8439, 4310
52, 0.26, 82.5231, 10, 25498, -733559, -29.8605, 0.196579, 0.894637, 8440, 4309
53, 0.265, 82.6322, 10, 25498, -732943, -29.8565, 0.200444, 0.910894, 8410, 4339
54, 0.27, 82.7409, 10, 25496, -732510, -29.8554, 0.202651, 0.922366, 8433, 4315
55, 0.275, 82.8493, 10, 25494, -732140, -29.8551, 0.204476, 0.932436, 8464, 4283
