26.9, 1.00237, 1967.14, 1.0106
27.1, 0.999779, 2011.19, 1.01052
27.3, 0.99978, 2055.9, 1.01045
27.5, 1.00471, 2101.49, 1.01048
27.7, 1.0003, 2147.54, 1.01042
27.9, 1.00303, 2194.38, 1.01042
28.1, 0.997594, 2241.65, 1.0103
28.3, 1.00311, 2289.85, 1.01029
28.5, 0.999888, 2338.58, 1.01022
28.7, 1.00007, 2388, 1.01016
28.9, 0.997881, 2438.01, 1.01005
29.1, 1.0007, 2488.85, 1.01
29.3, 0.999512, 2540.34, 1.00992
29.5, 0.998692, 2592.49, 1.00984
29.7, 1.00015, 2645.42, 1.00978
29.9, 1.00013, 2699.07, 1.00972
30.1, 0.998944, 2753.37, 1.00964
30.3, 1.00212, 2808.57, 1.00962
30.5, 1.00066, 2864.42, 1.00957
30.7, 0.996765, 2920.79, 1.00945
30.9, 0.997671, 2977.95, 1.00935
31.1, 0.999439, 3035.95, 1.00928
31.3, 0.999195, 3094.68, 1.00921
31.5, 1.00076, 3154.26, 1.00917
31.7, 1.0004, 3214.58, 1.00913
31.9, 0.997803, 3275.5, 1.00903
32.1, 0.997217, 3337.15, 1.00893
32.3, 1.00047, 3399.78, 1.00889
32.5, 1.00031, 3463.17, 1.00884
32.7, 1.00018, 3527.34, 1.0088
32.9, 1.00136, 3592.38, 1.00877
33.1, 1.00165, 3658.22, 1.00876
33.3, 0.999668, 3724.73, 1.0087
33.5, 1.00086, 3792.12, 1.00867
33.7, 1.00055, 3860.3, 1.00863
33.9, 1.00348, 3929.5, 1.00864
34.1, 0.997981, 3999.12, 1.00856
34.3, 0.999125, 4069.65, 1.0085
34.5, 1.00233, 4141.23, 1.00849
34.7, 1.00003, 4213.48, 1.00845
34.9, 1.00182, 4286.69, 1.00843
35.1, 0.999878, 4360.6, 1.00838
35.3, 0.997325, 4435.17, 1.00829
35.5, 1.00105, 4510.86, 1.00827
35.7, 0.998964, 4587.25, 1.0082
35.9, 0.999657, 4664.56, 1.00815
36.1, 0.999212, 4742.69, 1.0081
36.3, 1.00203, 4821.91, 1.00809
36.5, 0.999117, 4901.77, 1.00803
36.7, 0.999188, 4982.52, 1.00798
36.9, 1.0022, 5064.4, 1.00797
37.1, 0.997561, 5146.78, 1.00789
37.3, 1.00056, 5230.3, 1.00786
