0.34, 5.75666, 10.6685, 0.827726, 1.64712, 1.60529, 3.19657
0.345, 5.93978, 10.9873, 0.854748, 1.70041, 1.65672, 3.30021
0.35, 6.12828, 11.3086, 0.882333, 1.75515, 1.70914, 3.40666
0.355, 6.30157, 11.6055, 0.910508, 1.81119, 1.76292, 3.51611
0.36, 6.48186, 11.8987, 0.939623, 1.86883, 1.8174, 3.62966
0.365, 6.67766, 12.2085, 0.96938, 1.92745, 1.87342, 3.74537
0.37, 6.87654, 12.5319, 0.999301, 1.98715, 1.93054, 3.86285
0.375, 7.07252, 12.8681, 1.02934, 2.04692, 1.98694, 3.97942
0.38, 7.2731, 13.2225, 1.05976, 2.10801, 2.04475, 4.098
0.385, 7.48934, 13.5817, 1.0915, 2.1721, 2.105, 4.22107
0.39, 7.70901, 13.9452, 1.1231, 2.23735, 2.16758, 4.34683
0.395, 7.91908, 14.2825, 1.15475, 2.30264, 2.2309, 4.47287
0.4, 8.12918, 14.5795, 1.18622, 2.36792, 2.29353, 4.59724
0.405, 8.34999, 14.9083, 1.21868, 2.43462, 2.3575, 4.72575
0.41, 8.56652, 15.2302, 1.25119, 2.50118, 2.42185, 4.85531
0.415, 8.82072, 15.5447, 1.28393, 2.56761, 2.487, 4.9848
0.42, 9.07483, 15.8997, 1.31767, 2.6358, 2.553, 5.11761
0.425, 9.33351, 16.2616, 1.35123, 2.70232, 2.61659, 5.2477
0.43, 9.59318, 16.6433, 1.38581, 2.77103, 2.68235, 5.38159
0.435, 9.85538, 17.0341, 1.42126, 2.84148, 2.75, 5.51914
0.44, 10.122, 17.4356, 1.45749, 2.91347, 2.81923, 5.65999
0.445, 10.3917, 17.8451, 1.49445, 2.98687, 2.88988, 5.80373
0.45, 10.6642, 18.2623, 1.5321, 3.06156, 2.96182, 5.9501
0.455, 10.9319, 18.6908, 1.5704, 3.13729, 3.03471, 6.09836
0.46, 11.198, 19.1026, 1.60918, 3.21398, 3.10849, 6.24788
0.465, 11.4657, 19.521, 1.64837, 3.29246, 3.18364, 6.40063
0.47, 11.7002, 19.9665, 1.68756, 3.36943, 3.25754, 6.55232
0.475, 11.915, 20.3709, 1.72669, 3.44604, 3.33218, 6.70204
0.48, 12.1548, 20.7852, 1.76632, 3.52314, 3.40726, 6.85301
0.485, 12.4059, 21.2183, 1.80658, 3.6014, 3.48429, 7.0072
0.49, 12.7054, 21.5994, 1.84896, 3.68044, 3.5647, 7.16597
0.495, 12.9996, 22.0245, 1.89219, 3.76253, 3.64768, 7.33016
0.5, 13.2927, 22.4692, 1.93602, 3.84614, 3.73142, 7.49726
0.505, 13.5869, 22.9247, 1.98036, 3.93094, 3.81593, 7.66664
0.51, 13.885, 23.3885, 2.02514, 4.01669, 3.9012, 7.83799
0.515, 14.1838, 23.8577, 2.0704, 4.10353, 3.98715, 8.01123
0.52, 14.4631, 24.2979, 2.11725, 4.19096, 4.07401, 8.18643
0.525, 14.7507, 24.7569, 2.1655, 4.28093, 4.16372, 8.36677
0.53, 15.0176, 25.1695, 2.21291, 4.36773, 4.25182, 8.54421
