1, 0.005, 76.5316, 253, 27.5787, 4.61241, 253, 27.5787, 4.60853, 5.81467, 4.80064, 2.51635, 1.97858, 6.21068, 4.81674, 3.80478, 1.9944, 2.6067, 4.92214, 1.00315, 0.127317, 1.00012, 5.48154e-08, 0.00249389, 0.00269876, 0.38483, 0.00229717, 0.407901, 0.00144002, 4.81317, 3.80301, 1.99348, 2.60226, 4.92074, 1.02604, 5.1585, 1.00057, 0.000821467, 0.00327938, 0.00391775, 0.384924, 0.00268214, 0.407807, 0.00137741
2, 0.01, 76.6583, 304, 42.1739, 5.59473, 304, 42.1739, 5.58442, 6.2733, 5.20032, 2.65174, 2.33446, 6.63572, 5.25113, 4.19036, 2.13684, 2.97526, 5.34578, 1.00116, 0.00330853, 1.00025, 2.38239e-07, 0.00505723, 0.00608186, 0.386082, 0.00412917, 0.420079, 0.00432006, 5.23666, 4.18053, 2.13364, 2.94612, 5.33684, 1.13555, 250.274, 1.00143, 0.00216705, 0.00699208, 0.00822072, 0.386207, 0.00587377, 0.419954, 0.00375657
3, 0.015, 76.7846, 315, 54.3578, 6.21592, 315, 54.3578, 6.19836, 6.64245, 5.52681, 2.7622, 2.6749, 6.98369, 5.61019, 4.51237, 2.25539, 3.31623, 5.69994, 1.00096, 0.00217921, 1.00039, 5.59559e-07, 0.00685762, 0.00753847, 0.388837, 0.00623526, 0.428218, 0.00701227, 5.59617, 4.50232, 2.25239, 3.28868, 5.69018, 1.12956, 245.365, 1.00182, 0.00297928, 0.0102257, 0.0121566, 0.388586, 0.00845606, 0.428469, 0.00663661
4, 0.02, 76.9105, 1059, 152.575, 8.58025, 1059, 152.575, 8.53981, 7.01509, 5.85028, 2.86371, 3.06599, 7.31056, 5.91692, 4.77703, 2.33865, 3.71406, 5.96755, 1.00198, 0.00668647, 1.00055, 1.08205e-06, 0.0100348, 0.0111692, 0.386771, 0.00901031, 0.43066, 0.00989231, 5.90508, 4.76945, 2.33722, 3.70679, 5.96423, 1.22707, 311.592, 1.00259, 0.0056626, 0.0144599, 0.017184, 0.387365, 0.012021, 0.430065, 0.00892186
5, 0.025, 77.036, 1529, 280.137, 11.1955, 1529, 280.137, 11.1231, 7.29859, 6.0941, 2.94492, 3.21413, 7.56548, 6.14156, 4.96799, 2.40106, 3.90314, 6.16351, 1.00237, 0.0072295, 1.0007, 1.73537e-06, 0.0124554, 0.0128042, 0.382419, 0.0121521, 0.433884, 0.0130228, 6.12472, 4.95665, 2.3983, 3.88145, 6.15681, 1.32196, 1178.14, 1.00325, 0.00701766, 0.0180867, 0.0202216, 0.383171, 0.0161985, 0.433133, 0.0123654
6, 0.03, 77.161, 3090, 915.706, 16.4062, 3090, 915.706, 16.2665, 7.55276, 6.30351, 3.00736, 3.52427, 7.78455, 6.40627, 5.19199, 2.47742, 4.18537, 6.40827, 1.00257, 0.0115391, 1.00088, 2.57722e-06, 0.0144908, 0.015574, 0.388273, 0.0135188, 0.436764, 0.0163724, 6.3766, 5.16942, 2.47145, 4.13439, 6.38974, 1.17438, 274.801, 1.00427, 0.00768698, 0.0213059, 0.0245233, 0.388023, 0.0184353, 0.437015, 0.0139306
7, 0.035, 77.2857, 3551, 1199.29, 16.8276, 3551, 1199.29, 16.6602, 7.87107, 6.57947, 3.09554, 3.92613, 8.0686, 6.65083, 5.39995, 2.54113, 4.59152, 6.61775, 1.00355, 0.0160263, 1.00105, 3.60036e-06, 0.017092, 0.017916, 0.383077, 0.016405, 0.439331, 0.0200351, 6.60412, 5.36685, 2.52997, 4.50438, 6.58563, 1.2527, 334.619, 1.00682, 0.0123693, 0.0254467, 0.0288365, 0.38339, 0.0225572, 0.439018, 0.0152767
8, 0.04, 77.4099, 3949, 1475.67, 19.9887, 3949, 1475.67, 19.7501, 8.20726, 6.8376, 3.17653, 4.6323, 8.36585, 6.97446, 5.65379, 2.62734, 5.2185, 6.91241, 1.00479, 0.0256537, 1.00123, 4.94946e-06, 0.0191212, 0.019943, 0.390465, 0.0184096, 0.438486, 0.0277047, 6.85894, 5.56854, 2.60119, 4.90734, 6.82555, 1.19051, 276.16, 1.01053, 0.0184695, 0.0300813, 0.0338047, 0.391153, 0.0267982, 0.437797, 0.0193464
9, 0.045, 77.5338, 4155, 1632.14, 19.384, 4155, 1632.14, 19.1324, 8.49086, 7.05195, 3.23533, 5.138, 8.57282, 7.19572, 5.81487, 2.66885, 5.67582, 7.06216, 1.00491, 0.0293973, 1.00143, 6.62466e-06, 0.0224244, 0.0224911, 0.394252, 0.0223335, 0.432851, 0.0320248, 7.0725, 5.72596, 2.64345, 5.37863, 6.97197, 1.37705, 1187.57, 1.01099, 0.0225319, 0.0342668, 0.0364602, 0.391998, 0.0323354, 0.435105, 0.0225707
10, 0.05, 77.6573, 4450, 1868.73, 20.2002, 4450, 1868.73, 19.9028, 8.5232, 7.11962, 3.25072, 5.23315, 8.64525, 7.27899, 5.92226, 2.70515, 5.74664, 7.18344, 1.00535, 0.0358002, 1.00157, 8.14103e-06, 0.0248884, 0.0255236, 0.397101, 0.0243373, 0.437516, 0.0380979, 7.12484, 5.81001, 2.67419, 5.40532, 7.07079, 1.36645, 693.816, 1.01307, 0.0260647, 0.0384246, 0.041439, 0.39419, 0.0357626, 0.440427, 0.0260769
